target_id   length  eff_length  est_counts  tpm
YOR107W	930	748.205	167	262.751
YGL222C	528	346.205	77	261.822
YML055W	537	355.205	25	82.8532
YNL301C	561	379.205	65.1356	202.205
YIL061C	903	721.205	34	55.4969
YPL198W	735	553.205	46.6522	99.2737
YPL237W	858	676.205	62	107.935
YJR083C	930	748.205	40	62.9343
YDR237W	879	697.205	250	422.112
YGL051W	705	523.205	427.696	962.303
YAR033W	705	523.205	138.304	311.179
YMR117C	642	460.205	73	186.732
YGL076C	735	553.205	40.3478	85.8583
YNR028W	927	745.205	68	107.419
YEL035C	501	319.205	64	236.025
